mode,mean_accuracy,mean_accept_rate,delta_knowledge,delta_engagement,novelty_rate,serendipity,n_users
adaptive,0.8300000000000001,0.29941666666666666,-0.4284094014425184,-0.25856349155645525,,,16
linucb,0.40249999999999997,0.21950000000000003,-0.29607910453623104,-0.43091282224738414,,,16
als,0.79,0.36125,-0.4730503564134277,-0.2629902635145991,,,16
fixed,0.4225,0.22425,-0.2859795989913078,-0.434007103176278,,,16
