mode,mean_accuracy,mean_accept_rate,delta_knowledge,delta_engagement,novelty_rate,serendipity,n_users
adaptive,0.535,0.20983333333333332,-0.5182956316756321,-0.46846404228988464,,,16
linucb,0.46375000000000005,0.22875,-0.16313403834200518,-0.3358127611437389,,,16
als,0.56375,0.27549999999999997,-0.36015331328140726,-0.3736825081621096,,,16
fixed,0.46749999999999997,0.23575000000000004,-0.33332854220830177,-0.4137753105909474,,,16
