baseline,paired_delta_accuracy,paired_delta_accept_rate,paired_n
linucb,0.07125000000000001,-0.01891666666666668,16
als,-0.028750000000000005,-0.06566666666666668,16
fixed,0.06749999999999999,-0.02591666666666668,16
