baseline,paired_delta_accuracy,paired_delta_accept_rate,paired_n
linucb,0.28750000000000003,0.03533333333333331,16
als,-0.09999999999999999,-0.10641666666666669,16
fixed,0.2675,0.030583333333333303,16
