run,mode,round,accept_rate,accuracy,pre_knowledge,post_knowledge,delta_knowledge,pre_engagement,post_engagement,delta_engagement
off_open,adaptive,1,0.35,0.5714285714285714,0.575,0.47200293443452673,-0.10299706556547322,0.675,0.6533466106312538,-0.02165338936874628
off_open,adaptive,2,0.35,0.6071428571428571,0.47200293443452673,0.40762899382350837,-0.06437394061101837,0.6533466106312538,0.6535592878518767,0.00021267722062290328
off_open,adaptive,3,0.2916666666666667,0.5357142857142857,0.40762899382350837,0.33243427292759303,-0.07519472089591533,0.6535592878518767,0.6504995368563421,-0.0030597509955345714
off_open,adaptive,4,0.2916666666666667,0.42857142857142855,0.33243427292759303,0.25577693696527753,-0.0766573359623155,0.6504995368563421,0.6197328010958955,-0.03076673576044664
off_open,adaptive,5,0.3020833333333333,0.7241379310344828,0.25577693696527753,0.29824206712592816,0.04246513016065062,0.6197328010958955,0.6363700480970489,0.016637247001153432
off_open,adaptive,6,0.3333333333333333,0.46875,0.29824206712592816,0.2265222064568955,-0.07171986066903266,0.6363700480970489,0.6379679191333268,0.0015978710362779536
off_open,adaptive,7,0.28125,0.2962962962962963,0.2265222064568955,0.17295588790520428,-0.05356631855169122,0.6379679191333268,0.5968688963189366,-0.04109902281439026
off_open,adaptive,8,0.3020833333333333,0.5862068965517241,0.17295588790520428,0.20437428699952842,0.031418399094324145,0.5968688963189366,0.6081917211945476,0.011322824875610982
off_open,adaptive,9,0.3020833333333333,0.5862068965517241,0.20437428699952842,0.22158411804884245,0.017209831049314034,0.6081917211945476,0.6249134221380092,0.016721700943461593
off_open,adaptive,10,0.3333333333333333,0.40625,0.22158411804884245,0.183941841094205,-0.037642276954637455,0.6249134221380092,0.6112709619774546,-0.013642460160554593
off_open,adaptive,11,0.3020833333333333,0.3448275862068966,0.183941841094205,0.10876501266739982,-0.07517682842680518,0.6112709619774546,0.584194830191931,-0.027076131785523594
off_open,adaptive,12,0.2916666666666667,0.4642857142857143,0.10876501266739982,0.15151946698220292,0.0427544543148031,0.584194830191931,0.5760967179697083,-0.008098112222222675
off_open,adaptive,13,0.3125,0.36666666666666664,0.15151946698220292,0.13413156722032465,-0.017387899761878267,0.5760967179697083,0.5522740526769102,-0.023822665292798084
off_open,adaptive,14,0.3125,0.4,0.13413156722032465,0.1317430118433948,-0.002388555376929863,0.5522740526769102,0.5466669202407678,-0.005607132436142415
off_open,adaptive,15,0.3125,0.5,0.1317430118433948,0.14603424404728835,0.014291232203893556,0.5466669202407678,0.545999560653344,-0.0006673595874238103
off_open,adaptive,16,0.3125,0.43333333333333335,0.14603424404728835,0.15649830630181902,0.01046406225453067,0.545999560653344,0.5419052945295562,-0.004094266123787826
off_open,adaptive,17,0.3020833333333333,0.3448275862068966,0.15649830630181902,0.10716026690855936,-0.04933803939325966,0.5419052945295562,0.516133804031882,-0.025771490497674132
off_open,adaptive,18,0.3125,0.5333333333333333,0.10716026690855936,0.14753877113949904,0.04037850423093968,0.516133804031882,0.5308405901497406,0.014706786117858583
off_open,adaptive,19,0.2708333333333333,0.6538461538461539,0.14753877113949904,0.2081366595645875,0.06059788842508845,0.5308405901497406,0.5454144306859654,0.014573840536224791
off_open,adaptive,20,0.3229166666666667,0.3870967741935484,0.2081366595645875,0.16504640414189822,-0.043090255422689266,0.5454144306859654,0.5284290905931553,-0.016985340092810053
off_open,adaptive,21,0.2708333333333333,0.34615384615384615,0.16504640414189822,0.12290140166060215,-0.04214500248129607,0.5284290905931553,0.509687915392978,-0.018741175200177373
off_open,adaptive,22,0.2916666666666667,0.4642857142857143,0.12290140166060215,0.1371561778103987,0.01425477614979656,0.509687915392978,0.5079252634451341,-0.001762651947843863
off_open,adaptive,23,0.3333333333333333,0.59375,0.1371561778103987,0.1637040048500494,0.026547827039650695,0.5079252634451341,0.5145960651916892,0.0066708017465550995
off_open,adaptive,24,0.3125,0.3333333333333333,0.1637040048500494,0.10133920195046058,-0.06236480289958883,0.5145960651916892,0.5054245574253863,-0.009171507766302933
off_open,adaptive,25,0.3333333333333333,0.4375,0.10133920195046058,0.09555581857494463,-0.005783383375515941,0.5054245574253863,0.5065505444072547,0.0011259869818683876
off_open,adaptive,26,0.3229166666666667,0.41935483870967744,0.09555581857494463,0.10620821867551938,0.01065240010057475,0.5065505444072547,0.5138888489230306,0.007338304515775884
off_open,adaptive,27,0.34375,0.2727272727272727,0.10620821867551938,0.06555624531185937,-0.04065197336366001,0.5138888489230306,0.5009430582151441,-0.012945790707886484
off_open,adaptive,28,0.3229166666666667,0.5161290322580645,0.06555624531185937,0.11212665014319506,0.04657040483133569,0.5009430582151441,0.5140523864996166,0.013109328284472532
