run,baseline,round,d_acc_vs_linucb,d_accept_vs_linucb,d_acc_vs_als,d_accept_vs_als,d_acc_vs_fixed,d_accept_vs_fixed
off_open,linucb,1,0.0,0.0,,,,
off_open,linucb,2,0.1785714285714286,0.0,,,,
off_open,linucb,3,0.29692307692307685,-0.041666666666666685,,,,
off_open,linucb,4,-0.2077922077922078,0.016666666666666663,,,,
off_open,linucb,5,0.21594202898550727,0.025000000000000022,,,,
off_open,linucb,6,0.21848739495798314,0.07916666666666669,,,,
off_open,linucb,7,-0.01364522417153996,0.04375000000000001,,,,
off_open,linucb,8,0.22947368421052633,0.022916666666666696,,,,
off_open,linucb,9,-0.0625,0.0708333333333333,,,,
off_open,linucb,10,0.18013468013468012,0.006249999999999978,,,,
off_open,linucb,11,0.15000000000000002,0.0,,,,
off_open,linucb,12,-0.0625,0.0708333333333333,,,,
off_open,linucb,13,0.2651072124756335,0.04375000000000001,,,,
off_open,linucb,14,0.2793522267206478,0.033333333333333326,,,,
off_open,linucb,15,0.23185483870967744,0.12291666666666667,,,,
off_open,linucb,16,-0.21634615384615385,0.0708333333333333,,,,
off_open,linucb,17,-0.3425925925925926,0.08124999999999999,,,,
off_open,linucb,18,0.4642857142857143,0.09166666666666667,,,,
off_open,linucb,19,0.4464285714285714,0.09166666666666667,,,,
off_open,linucb,20,0.41379310344827586,0.1020833333333333,,,,
off_open,linucb,21,0.16964285714285715,0.09166666666666667,,,,
off_open,linucb,22,-0.04464285714285715,0.09166666666666667,,,,
off_open,linucb,23,-0.14882032667876582,0.06458333333333333,,,,
off_open,linucb,24,0.22899159663865548,0.07916666666666669,,,,
off_open,linucb,25,0.19803921568627453,0.1,,,,
off_open,linucb,26,0.19642857142857145,0.09166666666666667,,,,
off_open,linucb,27,0.2478448275862069,0.1020833333333333,,,,
off_open,linucb,28,0.1228448275862069,0.1020833333333333,,,,
off_open,linucb,29,0.23214285714285715,0.09166666666666667,,,,
off_open,linucb,30,0.3194444444444444,0.08124999999999999,,,,
off_open,linucb,31,0.3214285714285714,0.09166666666666667,,,,
off_open,linucb,32,-0.09999999999999998,0.060416666666666674,,,,
off_open,linucb,33,0.2678571428571429,0.09166666666666667,,,,
off_open,linucb,34,-0.1225,0.060416666666666674,,,,
off_open,linucb,35,0.40384615384615385,0.0708333333333333,,,,
off_open,linucb,36,0.41806722689075626,0.07916666666666669,,,,
off_open,linucb,37,0.4375,0.11249999999999999,,,,
