run,round,ret_acc,ret_accept,ret_post_k
standard_eps1_0,1,0.9375,1.0,0.9850958374006716
standard_eps1_0,2,1.0,1.0,1.0019253012341778
standard_eps1_0,3,1.04,0.9615384615384617,1.0542684166133012
standard_eps1_0,4,0.8076923076923077,0.9285714285714285,0.9781570509511772
standard_eps1_0,5,1.3076923076923077,1.0,1.190877097631968
standard_eps1_0,6,1.0096153846153846,0.9285714285714285,1.2575864694497907
standard_eps1_0,7,1.0,1.0,1.2970679874052362
standard_eps1_0,8,0.9090909090909092,1.0,1.2601367466933864
standard_eps1_0,9,1.0526315789473684,0.7307692307692308,1.3611582239942495
standard_eps1_0,10,0.4462809917355372,0.8148148148148148,0.9726969608731069
standard_eps1_0,11,1.2222222222222223,0.75,1.1496722839528644
standard_eps1_0,12,1.1,0.7692307692307693,1.0901022613136184
standard_eps1_0,13,0.7105263157894737,0.7037037037037037,1.024532589753713
standard_eps1_0,14,1.0636363636363637,0.8461538461538461,1.0153898242985697
standard_eps1_0,15,0.9084249084249083,0.6774193548387096,0.8218399236909856
standard_eps1_0,16,1.0505050505050506,0.8461538461538461,0.9150672810909485
standard_eps1_0,17,0.7809917355371901,0.8148148148148148,1.0772678268277593
standard_eps1_0,18,0.9476923076923076,0.8928571428571429,1.231612845013125
standard_eps1_0,19,0.9166666666666667,0.75,0.9949222337382853
standard_eps1_0,20,1.3533333333333335,0.8620689655172415,1.2891531705021158
standard_eps1_0,21,0.4869565217391304,0.8214285714285714,0.753612287516319
standard_eps1_0,22,1.2121212121212122,0.75,0.9985974576786764
standard_eps1_0,23,0.7457142857142857,0.8620689655172415,0.8150170346768879
standard_eps1_0,24,0.46822742474916385,0.8214285714285714,0.5595471984181728
standard_eps1_0,25,0.7384615384615385,0.8333333333333334,0.7485373888364607
standard_eps1_0,26,1.4879227053140096,0.8214285714285714,1.0871166970146016
standard_eps1_0,27,1.2608695652173914,0.7931034482758621,1.4239198088747247
standard_eps1_0,28,1.074074074074074,0.8275862068965518,1.5921205969599361
standard_eps1_0,29,0.9333333333333332,0.8571428571428571,1.1483990380785027
standard_eps1_0,30,0.81,0.925925925925926,0.8725884414523281
standard_eps1_0,31,0.9800000000000001,0.8928571428571429,0.9588402775120256
standard_eps1_0,32,1.1956521739130435,0.9199999999999999,1.0680724600404432
standard_eps1_0,33,0.8425925925925924,0.8571428571428571,0.896108810752884
standard_eps1_0,34,0.9615384615384616,1.0399999999999998,1.0674269251130295
standard_eps1_0,35,0.7363834422657951,1.0384615384615385,0.7939636738700795
standard_eps1_0,36,1.2205128205128206,0.9285714285714285,1.0832974980919017
standard_eps1_0,37,0.8148148148148148,0.9,0.9448574733167003
standard_eps1_0,38,0.9309462915601023,0.8846153846153847,0.9026806771987222
standard_eps1_0,39,0.8205128205128205,0.75,0.8842363387341388
standard_eps1_0,40,1.023529411764706,0.8620689655172415,1.007733150344909
standard_eps1_0,41,0.8035714285714286,0.8,0.9348483588275283
standard_eps1_0,42,0.8916083916083917,0.8666666666666666,0.8468038855492136
standard_eps1_0,43,0.9440559440559441,0.8666666666666666,0.9728931412640069
standard_eps1_0,44,1.0843621399176955,0.8709677419354839,0.9781509209688962
standard_eps1_0,45,1.0980392156862746,0.75,1.118724779572736
standard_eps1_0,46,0.9428571428571428,0.8333333333333334,1.1348937216947428
standard_eps1_0,47,1.0694444444444444,0.8181818181818182,1.163678103896757
standard_eps1_0,48,1.0746666666666667,0.8064516129032259,1.1202804827609916
