run,baseline,round,d_acc,d_dk,d_de
off_open,linucb,1,0.0,-0.007315160402485532,0.00032316119980280167
off_open,linucb,2,0.1785714285714286,0.013814399638857777,0.021466962580993787
off_open,linucb,3,0.29692307692307685,0.0411101643258589,0.050651589863475066
off_open,linucb,4,-0.2077922077922078,-0.09972946295052532,-0.035118427195356405
off_open,linucb,5,0.21594202898550727,0.06175330996284417,0.03926502621095729
off_open,linucb,6,0.21848739495798314,0.02087223993741677,0.02900789045543739
off_open,linucb,7,-0.01364522417153996,-0.013834020051848472,-0.015545699789392242
off_open,linucb,8,0.22947368421052633,0.02528629459264664,0.019469112010605638
off_open,linucb,9,-0.0625,-0.04690480356253246,-0.018450437888718807
off_open,linucb,10,0.18013468013468012,0.014416430918051892,-0.00017745969320120958
off_open,linucb,11,0.15000000000000002,-0.004309422335577545,0.004209320938130812
off_open,linucb,12,-0.0625,-0.009271925242208434,0.01712878722498784
off_open,linucb,13,0.2651072124756335,0.003431192393364757,0.026859455432553803
off_open,linucb,14,0.2793522267206478,0.0217232796836401,0.02629295720702407
off_open,linucb,15,0.23185483870967744,0.02197663321383196,0.007044891120393415
off_open,linucb,16,-0.21634615384615385,-0.048842175022233036,-0.0058169472739199035
off_open,linucb,17,-0.3425925925925926,-0.08698736026301522,-0.008618139038218287
off_open,linucb,18,0.4642857142857143,0.09538223067793584,0.0642363708248212
off_open,linucb,19,0.4464285714285714,0.08285449259437103,0.0208485935274427
off_open,linucb,20,0.41379310344827586,0.04184026216376667,0.011738690859995071
off_open,linucb,21,0.16964285714285715,-0.015994934333457177,-0.02221640432161251
off_open,linucb,22,-0.04464285714285715,-0.06635360448031166,-0.025534696146426505
off_open,linucb,23,-0.14882032667876582,-0.0477046386793407,0.00863518698294155
off_open,linucb,24,0.22899159663865548,0.058788315783557726,0.01685305474029039
off_open,linucb,25,0.19803921568627453,-0.0018195527848244297,-0.014751986683715995
off_open,linucb,26,0.19642857142857145,-0.006453456723345442,-0.008537127007085449
off_open,linucb,27,0.2478448275862069,-0.015082899826701301,-0.0138106106589313
off_open,linucb,28,0.1228448275862069,-0.022934623822825483,-0.008385141987122813
off_open,linucb,29,0.23214285714285715,0.017459389555077157,-0.007015153086259551
off_open,linucb,30,0.3194444444444444,0.03278294551583482,-0.0048776133996577264
off_open,linucb,31,0.3214285714285714,-0.0018316839760315964,0.00036326924807134064
off_open,linucb,32,-0.09999999999999998,-0.04796834905231813,-0.01482756476153324
off_open,linucb,33,0.2678571428571429,0.04709156944103483,0.007357952890836794
off_open,linucb,34,-0.1225,-0.04752937552751341,0.004186503335539105
off_open,linucb,35,0.40384615384615385,0.0888018555972038,0.015589166121338538
off_open,linucb,36,0.41806722689075626,0.050541213790423214,0.02339365717430192
off_open,linucb,37,0.4375,0.006290204193528,-0.014126675784429443
off_open,linucb,38,0.5913461538461539,0.05936475274852406,0.02854185173041035
off_open,linucb,39,0.19572368421052633,-0.06547558399697023,-0.00450335312739622
off_open,linucb,40,0.2112068965517241,-0.013330746029728058,0.0007175072920609649
