run,mode,round,accept_rate,accuracy,pre_knowledge,post_knowledge,delta_knowledge,pre_engagement,post_engagement,delta_engagement
off_open,adaptive,1,0.35,0.5714285714285714,0.575,0.48699280432496717,-0.08800719567503279,0.675,0.6524501696497125,-0.02254983035028757
off_open,adaptive,2,0.35,0.6785714285714286,0.48699280432496717,0.4385821975481225,-0.04841060677684467,0.6524501696497125,0.6594420274767104,0.00699185782699796
off_open,adaptive,3,0.2708333333333333,0.5769230769230769,0.4385821975481225,0.37400777422084414,-0.06457442332727836,0.6594420274767104,0.658950530786861,-0.00049149668984938
off_open,adaptive,4,0.2916666666666667,0.42857142857142855,0.37400777422084414,0.2937134090723934,-0.08029436514845073,0.658950530786861,0.6272408126904186,-0.03170971809644241
off_open,adaptive,5,0.3125,0.43333333333333335,0.2937134090723934,0.2576854537309283,-0.03602795534146508,0.6272408126904186,0.6082222896038437,-0.019018523086574923
off_open,adaptive,6,0.2916666666666667,0.5714285714285714,0.2576854537309283,0.25484309010375755,-0.002842363627170774,0.6082222896038437,0.6186625184008527,0.01044022879700901
off_open,adaptive,7,0.28125,0.4074074074074074,0.25484309010375755,0.21043600711356197,-0.04440708299019558,0.6186625184008527,0.5908998816545595,-0.0277626367462932
off_open,adaptive,8,0.2604166666666667,0.44,0.21043600711356197,0.18693727313520161,-0.02349873397836036,0.5908998816545595,0.5789208374522601,-0.01197904420229945
off_open,adaptive,9,0.2708333333333333,0.5,0.18693727313520161,0.17650713735738982,-0.010430135777811794,0.5789208374522601,0.58244828847785,0.003527451025589934
off_open,adaptive,10,0.28125,0.4074074074074074,0.17650713735738982,0.1562960853504177,-0.020211052006972124,0.58244828847785,0.5596278540107534,-0.022820434467096584
off_open,adaptive,11,0.25,0.5,0.1562960853504177,0.15231806814916907,-0.003978017201248629,0.5596278540107534,0.5497888044019611,-0.009839049608792338
off_open,adaptive,12,0.2708333333333333,0.5,0.15231806814916907,0.17746377173346575,0.025145703584296686,0.5497888044019611,0.5550972977083152,0.0053084933063540785
off_open,adaptive,13,0.28125,0.37037037037037035,0.17746377173346575,0.12974327690780707,-0.04772049482565868,0.5550972977083152,0.5342690176667352,-0.020828280041579994
off_open,adaptive,14,0.2708333333333333,0.38461538461538464,0.12974327690780707,0.11358768381391997,-0.016155593093887102,0.5342690176667352,0.5274378739350755,-0.006831143731659717
off_open,adaptive,15,0.3229166666666667,0.41935483870967744,0.11358768381391997,0.12241540749930802,0.008827723685388048,0.5274378739350755,0.5116975800114592,-0.01574029392361631
off_open,adaptive,16,0.2708333333333333,0.34615384615384615,0.12241540749930802,0.12398908924937647,0.0015736817500684591,0.5116975800114592,0.49227257276397435,-0.019425007247484805
off_open,adaptive,17,0.28125,0.4074074074074074,0.12398908924937647,0.10016193265427803,-0.023827156595098445,0.49227257276397435,0.48755198913948095,-0.004720583624493402
off_open,adaptive,18,0.2916666666666667,0.4642857142857143,0.10016193265427803,0.11692993678239158,0.01676800412811355,0.48755198913948095,0.487907329566795,0.0003553404273140548
off_open,adaptive,19,0.2916666666666667,0.5714285714285714,0.11692993678239158,0.15269916435009429,0.035769227567702705,0.487907329566795,0.49102522307943186,0.00311789351263686
off_open,adaptive,20,0.3020833333333333,0.41379310344827586,0.15269916435009429,0.13572496627721975,-0.016974198072874536,0.49102522307943186,0.483351750155825,-0.007673472923606872
off_open,adaptive,21,0.2916666666666667,0.35714285714285715,0.13572496627721975,0.13318049190562656,-0.0025444743715931917,0.483351750155825,0.46288420208305214,-0.020467548072772845
off_open,adaptive,22,0.2916666666666667,0.39285714285714285,0.13318049190562656,0.12048315193560356,-0.012697339970022994,0.46288420208305214,0.4536440264993761,-0.009240175583676069
off_open,adaptive,23,0.3020833333333333,0.4827586206896552,0.12048315193560356,0.1311081105995349,0.01062495866393133,0.4536440264993761,0.46024415842883404,0.006600131929457964
off_open,adaptive,24,0.2916666666666667,0.4642857142857143,0.1311081105995349,0.14135530731343565,0.010247196713900758,0.46024415842883404,0.45493390012927726,-0.00531025829955678
off_open,adaptive,25,0.3125,0.43333333333333335,0.14135530731343565,0.12218051027570559,-0.019174797037730062,0.45493390012927726,0.44816789922547506,-0.006766000903802194
off_open,adaptive,26,0.2916666666666667,0.32142857142857145,0.12218051027570559,0.10236844086646879,-0.0198120694092368,0.44816789922547506,0.4358514180018147,-0.012316481223660358
off_open,adaptive,27,0.3020833333333333,0.3103448275862069,0.10236844086646879,0.07061220656632561,-0.03175623430014318,0.4358514180018147,0.41688557494816747,-0.018965843053647236
off_open,adaptive,28,0.3020833333333333,0.3103448275862069,0.07061220656632561,0.06000845529996164,-0.010603751266363967,0.41688557494816747,0.4110841083257565,-0.005801466622410989
off_open,adaptive,29,0.2916666666666667,0.35714285714285715,0.06000845529996164,0.07293985719659765,0.01293140189663601,0.4110841083257565,0.4061812681169623,-0.004902840208794168
off_open,adaptive,30,0.28125,0.4444444444444444,0.07293985719659765,0.10849756973394173,0.03555771253734408,0.4061812681169623,0.40830078698402783,0.0021195188670655174
off_open,adaptive,31,0.2916666666666667,0.5714285714285714,0.10849756973394173,0.12538786603176116,0.016890296297819435,0.40830078698402783,0.40769214462886616,-0.0006086423551616704
off_open,adaptive,32,0.2604166666666667,0.4,0.12538786603176116,0.11819988861939423,-0.0071879774123669304,0.40769214462886616,0.3975700552735509,-0.010122089355315278
off_open,adaptive,33,0.2916666666666667,0.6428571428571429,0.11819988861939423,0.16682650601412166,0.04862661739472743,0.3975700552735509,0.4127006187646994,0.015130563491148497
off_open,adaptive,34,0.2604166666666667,0.44,0.16682650601412166,0.14763112079866078,-0.01919538521546088,0.4127006187646994,0.41388282219923234,0.001182203434532958
off_open,adaptive,35,0.2708333333333333,0.6538461538461539,0.14763112079866078,0.20581643528997112,0.05818531449131034,0.41388282219923234,0.42892126540002473,0.015038443200792395
off_open,adaptive,36,0.2916666666666667,0.5357142857142857,0.20581643528997112,0.2108071865218887,0.004990751231917584,0.42892126540002473,0.4331963068202942,0.004275041420269465
off_open,adaptive,37,0.3125,0.5,0.2108071865218887,0.19989216098675106,-0.010915025535137651,0.4331963068202942,0.4225830151997687,-0.010613291620525489
off_open,adaptive,38,0.2708333333333333,0.6538461538461539,0.19989216098675106,0.2429961067466695,0.04310394575991844,0.4225830151997687,0.4488482632880615,0.02626524808829278
off_open,adaptive,39,0.3333333333333333,0.40625,0.2429961067466695,0.19045076377671288,-0.05254534296995661,0.4488482632880615,0.44206162424629697,-0.0067866390417645195
off_open,adaptive,40,0.3020833333333333,0.5862068965517241,0.19045076377671288,0.20154865336392216,0.011097889587209281,0.44206162424629697,0.451287919789531,0.009226295543234009
off_open,adaptive,41,0.3125,0.4666666666666667,0.20154865336392216,0.1682123393371747,-0.03333631402674747,0.451287919789531,0.4458461854178683,-0.0054417343716626765
off_open,adaptive,42,0.3125,0.7333333333333333,0.1682123393371747,0.2420108102717867,0.073798470934612,0.4458461854178683,0.4724487621736957,0.02660257675582739
