baseline,paired_delta_accuracy,paired_delta_accept_rate,paired_n
linucb,0.085,-0.007250000000000019,16
als,-0.015000000000000006,-0.05400000000000002,16
fixed,0.08124999999999999,-0.014250000000000021,16
