baseline,paired_delta_accuracy,paired_delta_accept_rate,paired_n
linucb,0.36624999999999996,0.0634583333333333,16
als,-0.021249999999999988,-0.0782916666666667,16
fixed,0.34625,0.05870833333333331,16
