baseline,paired_delta_accuracy,paired_delta_accept_rate,paired_n
linucb,0.09875000000000002,-0.0014166666666666841,16
als,-0.0012499999999999976,-0.048166666666666684,16
fixed,0.095,-0.008416666666666687,16
