baseline,paired_delta_accuracy,paired_delta_accept_rate,paired_n
linucb,0.05000000000000002,-0.028083333333333342,16
als,-0.05,-0.07483333333333334,16
fixed,0.07375000000000001,-0.031083333333333348,16
