mode,mean_accuracy,mean_accept_rate,delta_knowledge,delta_engagement,novelty_rate,serendipity,n_users
adaptive,0.5137499999999999,0.2006666666666667,-0.47698065299053083,-0.45818113966258756,,,16
linucb,0.46375000000000005,0.22875,-0.16313403834200518,-0.3358127611437389,,,16
als,0.56375,0.27549999999999997,-0.36015331328140726,-0.3736825081621096,,,16
fixed,0.44,0.23175,-0.2671722334762151,-0.38796935978901853,,,16
